ngram,coefficient,direction
percent,2.4817048491021354,credible
georgia,1.759950426059119,credible
day,1.7434491569864954,credible
average,1.7179656909537044,credible
half,1.688767989939389,credible
months,1.6819699566804258,credible
times,1.6679091754244522,credible
terms,1.5006191040955041,credible
american,1.4322386728103271,credible
debt,1.3981486957087172,credible
million,1.3585477309400205,credible
countries,1.3450707508633697,credible
members,1.3347062756392647,credible
nations,1.3266728934916117,credible
decades,1.3138362635025795,credible
ohio,1.2789724363257253,credible
nearly,1.2001427128769666,credible
youve,1.1999150955249316,credible
shutdown,1.137744263624414,credible
country,1.1086756762253849,credible
obamacare,-2.3376285667893395,not_credible
obama,-2.1558452528167957,not_credible
says,-1.7700558901147967,not_credible
rep,-1.5675150063970715,not_credible
wisconsin,-1.530262659074345,not_credible
walker,-1.4314159881538397,not_credible
abortions,-1.3673650732820073,not_credible
obamas,-1.3660836007109773,not_credible
raise,-1.3629205423279993,not_credible
away,-1.3555002874722069,not_credible
group,-1.3124638293358584,not_credible
scott walker,-1.2936423220532438,not_credible
scott,-1.2907335779991416,not_credible
plan,-1.2673578137399055,not_credible
real,-1.250102497933828,not_credible
work,-1.192932565410044,not_credible
medicare,-1.1914289717399378,not_credible
government,-1.1750740070415793,not_credible
illegal,-1.129146829615681,not_credible
debate,-1.1231165386709838,not_credible
